intitulé,SAU,SFP,CV,Nb unité,Unité,Construction,Mécanisation,Main d’oeuvre (hors MSA),Autres charges,Charges financières,Amortissements,Analyse
Cultures de vente,138.8,0,0,138.8,ha,8,115,15,113,19,216,ha
Vaches laitières,99.3,79.7,19.6,75,VL,20,221,59,250,58,446,1000 L
Vaches allaitantes naisseur,105.9,96.7,9.2,99,VA,10,118,21,143,29,231,VA
VA NE,115.8,95.7,20.1,84,VA,14,145,17,164,30,274,VA
Volailles label,68.3,0,0,1464,m²,63,198,66,312,51,423,m²
Volailles standard,58.8,0,0,1254,m²,34,238,104,423,74,569,m²
Poules pondeuses,49.9,0,0,9188,poules,34,203,164,466,141,778,poules
Porcs PS E,121.6,0,0,533,places,37,217,80,274,47,395,1000 kg carcasse
Porcs naisseur-engr.,107.9,0,0,179,truies,34,262,200,490,111,610,1000 kg carcasse
Caprin,76.8,36.9,39.9,349,chèvres,17,315,297,335,64,548,1000 L
Ovin,91.7,79,12.7,346,brebis,16,100,23,153,17,246,kg carcasse
Autre production,,,,234491,euros,4.22,21.20,9.25,2.31,0,0,euros
